price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
268.97;329.14;386.87;401.06;442.26;292.39;314.5508333333334;232.45880952380958
282.88;271.21;329.14;386.87;401.06;281.66;317.86541666666676;234.00982142857148
272.58;261.27;271.21;329.14;386.87;251.72;320.4100000000001;235.51755952380955
268.13;246.47;261.27;271.21;329.14;244.02;322.3450000000001;236.93970238095238
271.33;235.04;246.47;261.27;271.21;239.92;323.45458333333346;238.2792261904762
261.21;237.43;235.04;246.47;261.27;149.0;322.9295833333335;239.5734523809524
274.01;254.02;237.43;235.04;246.47;272.97;322.0291666666668;240.90113095238095
339.77;315.46;254.02;237.43;235.04;328.03;320.22500000000014;241.21142857142854
369.89;350.85;315.46;254.02;237.43;363.35;319.31375000000014;241.95726190476185
379.63;386.95;350.85;315.46;254.02;341.98;319.13208333333347;242.0316666666666
341.75;365.41;386.95;350.85;315.46;308.64;319.20458333333346;242.2492857142857
299.02;329.64;365.41;386.95;350.85;271.16;320.17041666666677;242.45994047619047
274.02;320.93;329.64;365.41;386.95;240.43;322.55875000000015;242.67125
276.32;303.91;320.93;329.64;365.41;234.92;325.03833333333347;242.91803571428574
268.97;291.4;303.91;320.93;329.64;227.92;326.76125000000013;243.20190476190479
278.07;294.55;291.4;303.91;320.93;228.0;328.7687500000001;243.53494047619054
285.79;300.85;294.55;291.4;303.91;242.73;329.1445833333335;244.14095238095243
324.09;308.91;300.85;294.55;291.4;256.75;328.8391666666668;244.95547619047625
372.44;341.07;308.91;300.85;294.55;325.94;328.05125000000015;245.9770238095239
409.41;368.86;341.07;308.91;300.85;358.61;325.60250000000013;246.53523809523818
479.0;390.9;368.86;341.07;308.91;418.77;322.26916666666676;246.06166666666675
450.0;390.0;390.9;368.86;341.07;404.05;320.09166666666675;247.12160714285724
394.21;366.9;390.0;390.9;368.86;350.33;318.6683333333334;246.9857738095239
355.17;344.3;366.9;390.0;390.9;285.34;316.8945833333334;246.8592261904763
251.89;268.97;344.3;366.9;390.0;205.32;314.3875000000001;246.71982142857155
252.65;282.88;268.97;344.3;366.9;212.04;314.8737500000001;246.72708333333344
259.48;272.58;282.88;268.97;344.3;200.07;315.3450000000001;246.8512500000001
261.58;268.13;272.58;282.88;268.97;188.41;316.2475000000001;246.99476190476202
259.74;271.33;268.13;272.58;282.88;182.17;317.7595833333334;247.18172619047633
259.01;261.21;271.33;268.13;272.58;179.72;318.75041666666675;247.84964285714298
275.36;274.01;261.21;271.33;268.13;183.61;319.5833333333334;247.85583333333346
355.19;339.77;274.01;261.21;271.33;274.57;320.59625000000005;247.9257142857144
378.85;369.89;339.77;274.01;261.21;327.13;321.3895833333334;247.96464285714296
385.19;379.63;369.89;339.77;274.01;319.01;321.0845833333334;248.18875000000008
378.0;341.75;379.63;369.89;339.77;322.06;320.09875000000005;248.3858333333334
360.06;299.02;341.75;379.63;369.89;296.74;318.82291666666674;248.5516666666667
354.77;274.02;299.02;341.75;379.63;238.18;316.8683333333334;248.75160714285715
325.63;276.32;274.02;299.02;341.75;151.67;315.71875000000006;248.99803571428575
300.72;268.97;276.32;274.02;299.02;65.38;314.78416666666675;249.242380952381
266.68;278.07;268.97;276.32;274.02;67.17;314.0975000000001;249.54041666666672
254.79;285.79;278.07;268.97;276.32;65.54;313.4700000000001;249.79672619047622
220.69;324.09;285.79;278.07;268.97;70.54;314.1025000000001;250.19755952380953
253.71;372.44;324.09;285.79;278.07;110.59;315.4095833333334;250.47434523809525
282.13;409.41;372.44;324.09;285.79;121.76;317.09916666666675;250.7767261904762
321.49;479.0;409.41;372.44;324.09;115.31;320.7700000000001;251.13523809523815
350.93;450.0;479.0;409.41;372.44;68.09;323.2700000000001;251.40875000000003
304.83;394.21;450.0;479.0;409.41;52.91;324.4079166666668;251.6699404761905
375.76;355.17;394.21;450.0;479.0;32.67;324.86083333333346;252.08559523809527
353.61;251.89;355.17;394.21;450.0;29.45;324.14916666666676;252.36279761904765
119.97;252.65;251.89;355.17;394.21;27.86;322.8895833333334;252.60452380952384
15.06;259.48;252.65;251.89;355.17;22.68;322.34375000000006;252.9581547619048
6.97;261.58;259.48;252.65;251.89;10.07;322.0708333333334;253.39369047619053
4.91;259.74;261.58;259.48;252.65;6.83;321.58791666666673;253.8554166666667
3.28;259.01;259.74;261.58;259.48;6.81;321.4962500000001;254.327380952381
4.7;275.36;259.01;259.74;261.58;25.98;321.55250000000007;254.87351190476195
3.85;355.19;275.36;259.01;259.74;28.87;322.19500000000005;255.35339285714292
15.37;378.85;355.19;275.36;259.01;254.82;322.5683333333334;255.66125000000005
24.6;385.19;378.85;355.19;275.36;262.57;322.8;256.05517857142866
26.18;378.0;385.19;378.85;355.19;222.78;324.3104166666667;256.38815476190484
25.4;360.06;378.0;385.19;378.85;181.27;326.85375000000005;256.7650595238096
79.04;354.77;360.06;378.0;385.19;180.52;330.2183333333334;257.4590476190477
18.92;325.63;354.77;360.06;378.0;192.91;332.27291666666673;258.49452380952386
9.94;300.72;325.63;354.77;360.06;176.1;333.5958333333334;259.8953571428572
3.92;266.68;300.72;325.63;354.77;160.12;333.1212500000001;261.08291666666673
87.03;254.79;266.68;300.72;325.63;180.5;331.82958333333346;262.20940476190486
