price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
92.6;80.06;102.51;123.13;152.24;0.0;40.46874999999877;26.083392857142744
89.63;80.01;80.06;102.51;123.13;0.0;43.76374999999877;26.54261904761894
88.26;83.78;80.01;80.06;102.51;0.19;47.24416666666544;27.02458333333322
86.89;24.16;83.78;80.01;80.06;0.51;48.25083333333211;27.15160714285703
86.89;79.99;24.16;83.78;80.01;0.98;51.57791666666544;27.6070238095237
85.04;100.76;79.99;24.16;83.78;1.42;55.72291666666544;28.177083333333226
88.33;120.87;100.76;79.99;24.16;2.47;60.63041666666544;28.759226190476085
84.16;119.14;120.87;100.76;79.99;4.95;65.14666666666544;29.289999999999893
76.0;107.56;119.14;120.87;100.76;7.97;68.69416666666544;29.73708333333323
66.39;100.61;107.56;119.14;120.87;7.43;72.25583333333209;30.183154761904657
15.16;90.55;100.61;107.56;119.14;4.95;75.73791666666543;30.65559523809513
9.11;50.79;90.55;100.61;107.56;0.71;77.67416666666543;30.932857142857035
3.24;34.45;50.79;90.55;100.61;-0.02;78.98499999999876;31.120357142857035
0.04;20.97;34.45;50.79;90.55;-1.3;79.78499999999876;31.233690476190368
0.0;25.46;20.97;34.45;50.79;-2.79;80.7958333333321;31.377797619047513
1.05;83.78;25.46;20.97;34.45;-1.92;84.23749999999876;31.861726190476084
12.46;82.24;83.78;25.46;20.97;-0.04;87.61041666666542;32.33172619047608
74.21;96.42;82.24;83.78;25.46;3.38;91.52333333333208;32.8760119047618
93.93;111.73;96.42;82.24;83.78;22.01;91.64499999999875;33.49845238095228
112.99;129.99;111.73;96.42;82.24;102.33;90.70583333333208;34.23714285714275
128.75;125.0;129.99;111.73;96.42;111.55;88.5916666666654;34.95660714285704
133.67;115.84;125.0;129.99;111.73;59.98;87.07499999999874;35.638749999999895
112.99;107.04;115.84;125.0;129.99;4.97;86.40458333333207;36.27642857142847
102.04;97.44;107.04;115.84;125.0;3.0;86.19333333333206;36.86595238095227
104.79;92.6;97.44;107.04;115.84;2.69;86.71583333333206;37.41714285714276
95.94;89.63;92.6;97.44;107.04;2.48;87.11666666666538;37.95065476190466
88.59;88.26;89.63;92.6;97.44;2.6;87.30333333333205;38.47488095238085
87.94;86.89;88.26;89.63;92.6;2.85;89.91708333333206;38.98904761904752
77.44;86.89;86.89;88.26;89.63;2.85;90.20458333333205;39.500416666666574
76.1;85.04;86.89;86.89;88.26;2.91;89.54958333333205;39.998154761904665
79.93;88.33;85.04;86.89;86.89;3.57;88.19374999999872;40.50922619047609
70.17;84.16;88.33;85.04;86.89;3.17;86.73624999999872;40.98071428571419
11.73;76.0;84.16;88.33;85.04;5.05;85.42124999999872;41.38565476190466
1.25;66.39;76.0;84.16;88.33;2.91;83.99541666666539;41.736607142857046
0.0;15.16;66.39;76.0;84.16;-0.03;80.85416666666539;41.797380952380855
-0.09;9.11;15.16;66.39;76.0;-0.18;79.11749999999873;41.84738095238085
-2.12;3.24;9.11;15.16;66.39;-2.06;77.81708333333206;41.86678571428562
-6.05;0.04;3.24;9.11;15.16;-7.41;76.94499999999873;41.874761904761804
-5.1;0.0;0.04;3.24;9.11;-15.07;75.8841666666654;41.89136904761895
-2.79;1.05;0.0;0.04;3.24;-10.0;72.43708333333205;41.90904761904752
1.18;12.46;1.05;0.0;0.04;-3.79;69.52958333333206;41.983452380952286
53.88;74.21;12.46;1.05;0.0;-0.06;68.60416666666539;42.40505952380943
91.02;93.93;74.21;12.46;1.05;62.63;67.86249999999872;42.833154761904666
112.54;112.99;93.93;74.21;12.46;87.44;67.15416666666539;42.89660714285704
115.89;128.75;112.99;93.93;74.21;110.93;67.31041666666539;42.998988095238
117.07;133.67;128.75;112.99;93.93;119.91;68.05333333333206;43.43761904761895
103.95;112.99;133.67;128.75;112.99;99.48;68.30124999999873;44.08059523809514
85.4;102.04;112.99;133.67;128.75;84.08;68.4929166666654;44.67011904761895
76.46;104.79;102.04;112.99;133.67;88.91;69.00083333333207;45.277857142857044
73.26;95.94;104.79;102.04;112.99;80.66;69.26374999999872;45.83416666666657
68.48;88.59;95.94;104.79;102.04;84.64;69.27749999999872;46.34601190476181
67.87;87.94;88.59;95.94;104.79;84.02;69.32124999999873;46.8524999999999
70.3;77.44;87.94;88.59;95.94;86.09;68.92749999999872;47.29648809523799
82.02;76.1;77.44;87.94;88.59;89.27;68.55499999999871;47.732142857142755
108.7;79.93;76.1;77.44;87.94;102.2;68.20499999999872;48.18666666666657
7.71;70.17;79.93;76.1;77.44;105.69;67.62208333333206;48.58547619047609
11.91;11.73;70.17;79.93;76.1;70.51;64.9441666666654;48.62523809523799
7.81;1.25;11.73;70.17;79.93;29.38;62.22999999999872;48.61535714285704
4.23;0.0;1.25;11.73;70.17;12.41;61.59833333333205;48.61553571428561
2.72;-0.09;0.0;1.25;11.73;6.06;61.214999999998724;48.616071428571324
