date;hour;price
2022-06-22;0;10,64
2022-06-22;1;7,97
2022-06-22;2;7,55
2022-06-22;3;10,00
2022-06-22;4;20,00
2022-06-22;5;30,97
2022-06-22;6;263,33
2022-06-22;7;225,55
2022-06-22;8;374,45
2022-06-22;9;328,85
2022-06-22;10;294,25
2022-06-22;11;285,43
2022-06-22;12;262,45
2022-06-22;13;243,71
2022-06-22;14;238,60
2022-06-22;15;199,04
2022-06-22;16;172,07
2022-06-22;17;169,45
2022-06-22;18;275,08
2022-06-22;19;470,46
2022-06-22;20;211,93
2022-06-22;21;389,72
2022-06-22;22;365,56
2022-06-22;23;292,39
2022-06-23;0;281,66
2022-06-23;1;251,72
2022-06-23;2;244,02
2022-06-23;3;239,92
2022-06-23;4;149,00
2022-06-23;5;272,97
2022-06-23;6;328,03
2022-06-23;7;363,35
2022-06-23;8;341,98
2022-06-23;9;308,64
2022-06-23;10;271,16
2022-06-23;11;240,43
2022-06-23;12;234,92
2022-06-23;13;227,92
2022-06-23;14;228,00
2022-06-23;15;242,73
2022-06-23;16;256,75
2022-06-23;17;325,94
2022-06-23;18;358,61
2022-06-23;19;418,77
2022-06-23;20;404,05
2022-06-23;21;350,33
2022-06-23;22;285,34
2022-06-23;23;205,32
2022-06-24;0;212,04
2022-06-24;1;200,07
2022-06-24;2;188,41
2022-06-24;3;182,17
2022-06-24;4;179,72
2022-06-24;5;183,61
2022-06-24;6;274,57
2022-06-24;7;327,13
2022-06-24;8;319,01
2022-06-24;9;322,06
2022-06-24;10;296,74
2022-06-24;11;238,18
2022-06-24;12;151,67
2022-06-24;13;65,38
2022-06-24;14;67,17
2022-06-24;15;65,54
2022-06-24;16;70,54
2022-06-24;17;110,59
2022-06-24;18;121,76
2022-06-24;19;115,31
2022-06-24;20;68,09
2022-06-24;21;52,91
2022-06-24;22;32,67
2022-06-24;23;29,45
2022-06-25;0;27,86
2022-06-25;1;22,68
2022-06-25;2;10,07
2022-06-25;3;6,83
2022-06-25;4;6,81
2022-06-25;5;25,98
2022-06-25;6;28,87
2022-06-25;7;254,82
2022-06-25;8;262,57
2022-06-25;9;222,78
2022-06-25;10;181,27
2022-06-25;11;180,52
2022-06-25;12;192,91
2022-06-25;13;176,10
2022-06-25;14;160,12
2022-06-25;15;180,50
2022-06-25;16;28,11
2022-06-25;17;29,08
2022-06-25;18;265,05
2022-06-25;19;306,56
2022-06-25;20;319,32
2022-06-25;21;314,94
2022-06-25;22;316,25
2022-06-25;23;287,86
2022-06-26;0;281,98
2022-06-26;1;255,06
2022-06-26;2;201,28
2022-06-26;3;101,05
2022-06-26;4;136,92
2022-06-26;5;135,86
2022-06-26;6;135,22
2022-06-26;7;135,44
2022-06-26;8;133,03
2022-06-26;9;109,45
2022-06-26;10;97,62
2022-06-26;11;91,68
2022-06-26;12;81,03
2022-06-26;13;77,90
2022-06-26;14;77,90
2022-06-26;15;109,76
2022-06-26;16;172,00
2022-06-26;17;202,28
2022-06-26;18;282,09
2022-06-26;19;316,99
2022-06-26;20;325,38
2022-06-26;21;308,94
2022-06-26;22;327,65
2022-06-26;23;308,29
2022-06-27;0;288,52
2022-06-27;1;224,90
2022-06-27;2;229,23
2022-06-27;3;220,75
2022-06-27;4;213,15
2022-06-27;5;258,22
2022-06-27;6;330,91
2022-06-27;7;357,94
2022-06-27;8;371,07
2022-06-27;9;348,38
2022-06-27;10;332,54
2022-06-27;11;293,50
2022-06-27;12;268,00
2022-06-27;13;250,91
2022-06-27;14;251,87
2022-06-27;15;259,91
2022-06-27;16;288,57
2022-06-27;17;340,91
2022-06-27;18;378,59
2022-06-27;19;442,02
2022-06-27;20;390,37
2022-06-27;21;375,64
2022-06-27;22;372,17
2022-06-27;23;347,33
2022-06-28;0;191,66
2022-06-28;1;200,20
2022-06-28;2;200,03
2022-06-28;3;208,41
2022-06-28;4;250,03
2022-06-28;5;275,63
2022-06-28;6;358,76
2022-06-28;7;372,72
2022-06-28;8;391,31
2022-06-28;9;363,67
2022-06-28;10;306,46
2022-06-28;11;263,61
2022-06-28;12;244,40
2022-06-28;13;250,05
2022-06-28;14;246,37
2022-06-28;15;291,83
2022-06-28;16;316,24
2022-06-28;17;359,98
2022-06-28;18;427,63
2022-06-28;19;470,90
2022-06-28;20;442,26
2022-06-28;21;401,06
2022-06-28;22;386,87
2022-06-28;23;329,14
2022-06-29;0;271,21
2022-06-29;1;261,27
2022-06-29;2;246,47
2022-06-29;3;235,04
2022-06-29;4;237,43
2022-06-29;5;254,02
2022-06-29;6;315,46
2022-06-29;7;350,85
2022-06-29;8;386,95
2022-06-29;9;365,41
2022-06-29;10;329,64
2022-06-29;11;320,93
2022-06-29;12;303,91
2022-06-29;13;291,40
2022-06-29;14;294,55
2022-06-29;15;300,85
2022-06-29;16;308,91
2022-06-29;17;341,07
2022-06-29;18;368,86
2022-06-29;19;390,90
2022-06-29;20;390,00
2022-06-29;21;366,90
2022-06-29;22;344,30
2022-06-29;23;268,97
2022-06-30;0;282,88
2022-06-30;1;272,58
2022-06-30;2;268,13
2022-06-30;3;271,33
2022-06-30;4;261,21
2022-06-30;5;274,01
2022-06-30;6;339,77
2022-06-30;7;369,89
2022-06-30;8;379,63
2022-06-30;9;341,75
2022-06-30;10;299,02
2022-06-30;11;274,02
2022-06-30;12;276,32
2022-06-30;13;268,97
2022-06-30;14;278,07
2022-06-30;15;285,79
2022-06-30;16;324,09
2022-06-30;17;372,44
2022-06-30;18;409,41
2022-06-30;19;479,00
2022-06-30;20;450,00
2022-06-30;21;394,21
2022-06-30;22;355,17
2022-06-30;23;251,89
2022-07-01;0;252,65
2022-07-01;1;259,48
2022-07-01;2;261,58
2022-07-01;3;259,74
2022-07-01;4;259,01
2022-07-01;5;275,36
2022-07-01;6;355,19
2022-07-01;7;378,85
2022-07-01;8;385,19
2022-07-01;9;378,00
2022-07-01;10;360,06
2022-07-01;11;354,77
2022-07-01;12;325,63
2022-07-01;13;300,72
2022-07-01;14;266,68
2022-07-01;15;254,79
2022-07-01;16;220,69
2022-07-01;17;253,71
2022-07-01;18;282,13
2022-07-01;19;321,49
2022-07-01;20;350,93
2022-07-01;21;304,83
2022-07-01;22;375,76
2022-07-01;23;353,61
2022-07-02;0;119,97
2022-07-02;1;15,06
2022-07-02;2;6,97
2022-07-02;3;4,91
2022-07-02;4;3,28
2022-07-02;5;4,70
2022-07-02;6;3,85
2022-07-02;7;15,37
2022-07-02;8;24,60
2022-07-02;9;26,18
2022-07-02;10;25,40
2022-07-02;11;79,04
2022-07-02;12;18,92
2022-07-02;13;9,94
2022-07-02;14;3,92
2022-07-02;15;87,03
2022-07-02;16;127,96
2022-07-02;17;234,53
2022-07-02;18;278,19
2022-07-02;19;341,60
2022-07-02;20;354,14
2022-07-02;21;351,32
