hour,date,price
0,2022-06-22,"10,64"
1,2022-06-22,"7,97"
2,2022-06-22,"7,55"
3,2022-06-22,"10,00"
4,2022-06-22,"20,00"
5,2022-06-22,"30,97"
6,2022-06-22,"263,33"
7,2022-06-22,"225,55"
8,2022-06-22,"374,45"
9,2022-06-22,"328,85"
10,2022-06-22,"294,25"
11,2022-06-22,"285,43"
12,2022-06-22,"262,45"
13,2022-06-22,"243,71"
14,2022-06-22,"238,60"
15,2022-06-22,"199,04"
16,2022-06-22,"172,07"
17,2022-06-22,"169,45"
18,2022-06-22,"275,08"
19,2022-06-22,"470,46"
20,2022-06-22,"211,93"
21,2022-06-22,"389,72"
22,2022-06-22,"365,56"
23,2022-06-22,"292,39"
0,2022-06-23,"281,66"
1,2022-06-23,"251,72"
2,2022-06-23,"244,02"
3,2022-06-23,"239,92"
4,2022-06-23,"149,00"
5,2022-06-23,"272,97"
6,2022-06-23,"328,03"
7,2022-06-23,"363,35"
8,2022-06-23,"341,98"
9,2022-06-23,"308,64"
10,2022-06-23,"271,16"
11,2022-06-23,"240,43"
12,2022-06-23,"234,92"
13,2022-06-23,"227,92"
14,2022-06-23,"228,00"
15,2022-06-23,"242,73"
16,2022-06-23,"256,75"
17,2022-06-23,"325,94"
18,2022-06-23,"358,61"
19,2022-06-23,"418,77"
20,2022-06-23,"404,05"
21,2022-06-23,"350,33"
22,2022-06-23,"285,34"
23,2022-06-23,"205,32"
0,2022-06-24,"212,04"
1,2022-06-24,"200,07"
2,2022-06-24,"188,41"
3,2022-06-24,"182,17"
4,2022-06-24,"179,72"
5,2022-06-24,"183,61"
6,2022-06-24,"274,57"
7,2022-06-24,"327,13"
8,2022-06-24,"319,01"
9,2022-06-24,"322,06"
10,2022-06-24,"296,74"
11,2022-06-24,"238,18"
12,2022-06-24,"151,67"
13,2022-06-24,"65,38"
14,2022-06-24,"67,17"
15,2022-06-24,"65,54"
16,2022-06-24,"70,54"
17,2022-06-24,"110,59"
18,2022-06-24,"121,76"
19,2022-06-24,"115,31"
20,2022-06-24,"68,09"
21,2022-06-24,"52,91"
22,2022-06-24,"32,67"
23,2022-06-24,"29,45"
0,2022-06-25,"27,86"
1,2022-06-25,"22,68"
2,2022-06-25,"10,07"
3,2022-06-25,"6,83"
4,2022-06-25,"6,81"
5,2022-06-25,"25,98"
6,2022-06-25,"28,87"
7,2022-06-25,"254,82"
8,2022-06-25,"262,57"
9,2022-06-25,"222,78"
10,2022-06-25,"181,27"
11,2022-06-25,"180,52"
12,2022-06-25,"192,91"
13,2022-06-25,"176,10"
14,2022-06-25,"160,12"
15,2022-06-25,"180,50"
16,2022-06-25,"28,11"
17,2022-06-25,"29,08"
18,2022-06-25,"265,05"
19,2022-06-25,"306,56"
20,2022-06-25,"319,32"
21,2022-06-25,"314,94"
22,2022-06-25,"316,25"
23,2022-06-25,"287,86"
0,2022-06-26,"281,98"
1,2022-06-26,"255,06"
2,2022-06-26,"201,28"
3,2022-06-26,"101,05"
4,2022-06-26,"136,92"
5,2022-06-26,"135,86"
6,2022-06-26,"135,22"
7,2022-06-26,"135,44"
8,2022-06-26,"133,03"
9,2022-06-26,"109,45"
10,2022-06-26,"97,62"
11,2022-06-26,"91,68"
12,2022-06-26,"81,03"
13,2022-06-26,"77,90"
14,2022-06-26,"77,90"
15,2022-06-26,"109,76"
16,2022-06-26,"172,00"
17,2022-06-26,"202,28"
18,2022-06-26,"282,09"
19,2022-06-26,"316,99"
20,2022-06-26,"325,38"
21,2022-06-26,"308,94"
22,2022-06-26,"327,65"
23,2022-06-26,"308,29"
0,2022-06-27,"288,52"
1,2022-06-27,"224,90"
2,2022-06-27,"229,23"
3,2022-06-27,"220,75"
4,2022-06-27,"213,15"
5,2022-06-27,"258,22"
6,2022-06-27,"330,91"
7,2022-06-27,"357,94"
8,2022-06-27,"371,07"
9,2022-06-27,"348,38"
10,2022-06-27,"332,54"
11,2022-06-27,"293,50"
12,2022-06-27,"268,00"
13,2022-06-27,"250,91"
14,2022-06-27,"251,87"
15,2022-06-27,"259,91"
16,2022-06-27,"288,57"
17,2022-06-27,"340,91"
18,2022-06-27,"378,59"
19,2022-06-27,"442,02"
20,2022-06-27,"390,37"
21,2022-06-27,"375,64"
22,2022-06-27,"372,17"
23,2022-06-27,"347,33"
0,2022-06-28,"191,66"
1,2022-06-28,"200,20"
2,2022-06-28,"200,03"
3,2022-06-28,"208,41"
4,2022-06-28,"250,03"
5,2022-06-28,"275,63"
6,2022-06-28,"358,76"
7,2022-06-28,"372,72"
8,2022-06-28,"391,31"
9,2022-06-28,"363,67"
10,2022-06-28,"306,46"
11,2022-06-28,"263,61"
12,2022-06-28,"244,40"
13,2022-06-28,"250,05"
14,2022-06-28,"246,37"
15,2022-06-28,"291,83"
16,2022-06-28,"316,24"
17,2022-06-28,"359,98"
18,2022-06-28,"427,63"
19,2022-06-28,"470,90"
20,2022-06-28,"442,26"
21,2022-06-28,"401,06"
22,2022-06-28,"386,87"
23,2022-06-28,"329,14"
0,2022-06-29,"271,21"
1,2022-06-29,"261,27"
2,2022-06-29,"246,47"
3,2022-06-29,"235,04"
4,2022-06-29,"237,43"
5,2022-06-29,"254,02"
6,2022-06-29,"315,46"
7,2022-06-29,"350,85"
8,2022-06-29,"386,95"
9,2022-06-29,"365,41"
10,2022-06-29,"329,64"
11,2022-06-29,"320,93"
12,2022-06-29,"303,91"
13,2022-06-29,"291,40"
14,2022-06-29,"294,55"
15,2022-06-29,"300,85"
16,2022-06-29,"308,91"
17,2022-06-29,"341,07"
18,2022-06-29,"368,86"
19,2022-06-29,"390,90"
20,2022-06-29,"390,00"
21,2022-06-29,"366,90"
22,2022-06-29,"344,30"
23,2022-06-29,"268,97"
0,2022-06-30,"282,88"
1,2022-06-30,"272,58"
2,2022-06-30,"268,13"
3,2022-06-30,"271,33"
4,2022-06-30,"261,21"
5,2022-06-30,"274,01"
6,2022-06-30,"339,77"
7,2022-06-30,"369,89"
8,2022-06-30,"379,63"
9,2022-06-30,"341,75"
10,2022-06-30,"299,02"
11,2022-06-30,"274,02"
12,2022-06-30,"276,32"
13,2022-06-30,"268,97"
14,2022-06-30,"278,07"
15,2022-06-30,"285,79"
16,2022-06-30,"324,09"
17,2022-06-30,"372,44"
18,2022-06-30,"409,41"
19,2022-06-30,"479,00"
20,2022-06-30,"450,00"
21,2022-06-30,"394,21"
22,2022-06-30,"355,17"
23,2022-06-30,"251,89"
0,2022-07-01,"252,65"
1,2022-07-01,"259,48"
2,2022-07-01,"261,58"
3,2022-07-01,"259,74"
4,2022-07-01,"259,01"
5,2022-07-01,"275,36"
6,2022-07-01,"355,19"
7,2022-07-01,"378,85"
8,2022-07-01,"385,19"
9,2022-07-01,"378,00"
10,2022-07-01,"360,06"
11,2022-07-01,"354,77"
12,2022-07-01,"325,63"
13,2022-07-01,"300,72"
14,2022-07-01,"266,68"
15,2022-07-01,"254,79"
16,2022-07-01,"220,69"
17,2022-07-01,"253,71"
